29596:
ClassLoader         Parent              CLD*               Classes   ChunkSz   BlockSz  Type
0x000002721f04d428  0x000002721f06a1c0  0x00000272666cc1e0       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666bfc90       4     20480     15296  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669c350       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666ace10       4     20480     15296  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666bf920       4     20480     15296  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x0000027266698990       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d2170       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d5710       4     20480     15408  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666cce40       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d2220       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669bf30       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666aafd0       4     20480     15296  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666a0130       4     20480     14920  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669b010       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669c560       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666cb580       4     20480     15392  java.net.URLClassLoader
0x000002721f098c50  0x0000000000000000  0x00000272666a9a80       1      4096      3472  jdk.internal.reflect.DelegatingClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669d5e0       4     17408     14240  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669d690       4     20480     15296  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666c7bc0       4     20480     15296  java.net.URLClassLoader
0x000002721f098c50  0x0000000000000000  0x000002726669e190       1      4096      3424  jdk.internal.reflect.DelegatingClassLoader
